"","Angola","Burundi","Kenya","Rwanda","Zambia","Zimbabwe","CAR","Sudan","SouthSudan","Uganda","Bas_Uele","Equateur","Haut_Katanga","Haut_Lomami","Haut_Uele","Ituri","Kasai","Kasai_Central","Kasai_Oriental","Kinshasa","Kongo_Central","Kwango","Kwilu","Lomami","Lualaba","Mai_Ndombe","Maniema","Mongala","Nord_Kivu","Nord_Ubangi","Sankuru","Sud_Kivu","Sud_Ubangi","Tanganyika","Tshopo","Tshuapa"
"Kwango",1.40232666929065e-159,6.44998061566823e-295,0,2.78803903868459e-277,4.53429298483767e-304,0,3.36423000772583e-282,0,0,1.21738660615153e-299,1.00249690151982e-268,1.95361850140586e-161,1.64281327007598e-222,6.77515886251811e-169,0,0,1.2614001692463e-85,5.0268300696413e-111,2.82240440940115e-104,1.58176034261185e-74,2.14459156915841e-93,0,7.23122873550837e-45,2.79492278263798e-155,1.3526429299906e-157,4.70824206652919e-95,1.32137894427813e-133,2.78552968528676e-162,5.5821431462656e-165,1.62691416947177e-187,4.37752487439088e-90,3.86302337231422e-175,4.43547019611684e-163,5.08308186504508e-215,1.79098890715756e-138,1.80556953811924e-126
"Kwilu",9.18712857442693e-244,0,0,1.42215804444286e-297,0,0,1.61327302339027e-290,0,0,0,5.0253507604339e-273,5.19310168977771e-143,1.77334298798227e-265,3.71063842264283e-196,0,0,1.26560795296414e-70,9.08105725427846e-117,1.51827411687971e-110,4.16802805732985e-87,5.18701886971849e-129,7.23122873550837e-45,0,1.53090106307083e-167,9.51881499190381e-197,3.40032583850064e-63,2.56611639347667e-137,6.21090993384133e-155,3.1970503119486e-173,1.8586043818013e-185,4.47365845798725e-85,5.19406849052475e-186,6.57634683804331e-159,6.20054892002581e-240,3.85583531083491e-137,1.09751878928381e-111
"Lomami",1.094345893641e-292,1.33650173370313e-165,0,2.85119409052237e-170,7.0032816405856e-232,0,0,0,0,7.51569986901049e-229,1.46014329269072e-248,2.23497344566032e-239,1.93750594116864e-129,7.10020961528394e-57,1.71678202750052e-288,1.62733451637759e-270,2.56580120372356e-105,1.31066597381023e-62,2.72973215883283e-27,2.81701898398176e-269,4.38826877798225e-297,2.79492278263798e-155,1.53090106307083e-167,0,3.25924336795069e-100,9.3589762833018e-203,1.63231843979991e-62,8.83770492851933e-181,6.36053654922963e-109,3.03104168191282e-216,2.21286294182929e-49,4.01838643108538e-89,3.54101054762028e-210,1.53363467020351e-87,3.50022916553428e-108,1.28913986133544e-132
"Lualaba",5.23127403466492e-212,2.24639866928555e-245,0,1.40868831547486e-249,5.34132910310334e-157,2.59789320353324e-258,0,0,0,1.28398129821593e-297,0,0,1.2862708277342e-97,1.96826221742372e-58,0,0,1.73711432887994e-155,4.86810619245156e-109,7.60438196675975e-81,6.38499062581729e-290,1.67731875558035e-302,1.3526429299906e-157,9.51881499190381e-197,3.25924336795069e-100,0,2.73105061093954e-255,5.84173011216253e-123,8.79722865654855e-247,4.28678957743381e-163,2.84296759229537e-282,1.78206876452516e-103,1.08546081080683e-149,2.44300937026972e-268,1.19119966114295e-132,3.17527666626899e-166,5.07354791848972e-198
"Mai_Ndombe",0,0,0,0,0,0,8.40181485856906e-254,0,0,0,2.14870510700203e-249,3.59284437016048e-90,0,1.35367550531621e-241,0,0,6.27319545982059e-103,2.32950735685182e-159,4.24094205398639e-140,2.08931021977818e-104,1.60097917588767e-154,4.70824206652919e-95,3.40032583850064e-63,9.3589762833018e-203,2.73105061093954e-255,0,1.61191212017983e-144,5.15798360205136e-125,3.42544110653495e-175,1.75210839698988e-154,2.64879165833658e-90,2.74109233215933e-197,3.60331501861224e-125,1.23454863780295e-272,4.50074121199867e-128,3.17544473822925e-88
"Maniema",2.10461999641483e-254,9.7682398210206e-64,1.64707508562249e-178,4.24684698946722e-61,5.92109638675474e-196,1.56452521478884e-245,3.00507726242997e-179,3.43998132225898e-301,3.97668245279155e-169,9.62073774721181e-102,3.76087968825065e-111,1.9044641063463e-145,1.93804795299681e-117,1.88102818052476e-86,4.06961230798114e-122,1.16695792954817e-107,1.1391311301875e-99,3.01098655294792e-90,2.9898425365396e-59,2.11985586372895e-203,4.43329848419228e-224,1.32137894427813e-133,2.56611639347667e-137,1.63231843979991e-62,5.84173011216253e-123,1.61191212017983e-144,0,1.66034939315925e-93,6.09568233785498e-36,8.46541048118616e-114,1.53344425632769e-31,9.6217333557745e-25,5.24296058350624e-118,1.13305323092866e-62,1.51179376005991e-40,6.26235426141685e-72
"Mongala",0,4.41962440315853e-213,2.50745491204864e-292,2.96006226842699e-181,0,0,2.77570302030145e-89,3.47220500021757e-303,2.70888918300403e-187,2.47728347893847e-178,3.41009173620453e-78,4.25126762178469e-70,1.26756331169129e-260,2.21749696154055e-214,8.26320692710089e-155,1.3624711259401e-178,4.40125662215966e-149,4.03301089774925e-178,4.63767601262613e-139,1.84877182458263e-199,8.33400895610963e-227,2.78552968528676e-162,6.21090993384133e-155,8.83770492851933e-181,8.79722865654855e-247,5.15798360205136e-125,1.66034939315925e-93,0,3.85144863644953e-93,5.43213522672625e-31,1.0603684629894e-74,2.95664059232839e-124,2.95778749787928e-38,1.00424916161831e-203,2.39968772680916e-51,5.56799775178807e-47
"Nord_Kivu",3.37099015136148e-297,1.09084828534893e-51,5.08091516886809e-128,2.32483469405786e-30,9.20355589664006e-223,2.87022684420817e-257,6.01844315865818e-160,5.39215478637362e-240,6.16010164391291e-115,2.31145188030604e-54,4.48099258773142e-84,7.83203580217219e-161,1.84347327160541e-142,4.93447399863859e-125,2.23824618937373e-67,2.91960410639704e-45,5.51414810692731e-142,2.41088612239718e-137,1.9847492829036e-96,7.75243618278341e-237,7.9430185585783e-255,5.5821431462656e-165,3.1970503119486e-173,6.36053654922963e-109,4.28678957743381e-163,3.42544110653495e-175,6.09568233785498e-36,3.85144863644953e-93,0,2.11580191638022e-106,3.97439742936765e-57,5.96286739339779e-32,5.34712381912269e-117,1.85703760366662e-87,8.53408602284612e-37,2.68639402937792e-87
"Nord_Ubangi",0,9.96776775578702e-242,2.4314630280215e-303,1.36685669256146e-204,0,0,5.92761536720938e-55,4.44074049723041e-279,6.4387439308269e-180,7.05333272645572e-189,1.5081228601349e-80,3.01295493024011e-91,2.49311422334801e-292,3.4225782570083e-248,1.45934079563976e-161,4.10362188202648e-193,8.46257397090175e-185,3.38238771903176e-215,1.11597642954983e-167,2.72718080707766e-225,4.98901872140906e-249,1.62691416947177e-187,1.8586043818013e-185,3.03104168191282e-216,2.84296759229537e-282,1.75210839698988e-154,8.46541048118616e-114,5.43213522672625e-31,2.11580191638022e-106,0,3.74379931745394e-96,5.72315769550175e-145,7.46168130208033e-31,5.77804376571902e-234,8.60881632518755e-67,2.85923468492956e-75
"Sankuru",1.33921320218458e-202,6.94329187011124e-107,1.92474314379679e-208,2.35915835830072e-100,4.74354743351267e-192,7.13801302138095e-239,2.74793408554869e-158,2.42244744916295e-301,2.15596122103919e-183,1.75426965165824e-129,3.4109552517787e-112,1.6029478886015e-101,1.08063170296314e-120,8.50008637211415e-80,1.12295181146994e-143,2.18346904355447e-139,2.90633283306111e-50,7.16593249597375e-52,6.90366716221716e-37,4.25324370725082e-142,2.97121639754146e-164,4.37752487439088e-90,4.47365845798725e-85,2.21286294182929e-49,1.78206876452516e-103,2.64879165833658e-90,1.53344425632769e-31,1.0603684629894e-74,3.97439742936765e-57,3.74379931745394e-96,0,7.4953575986218e-55,5.15777956396623e-94,7.34332236671212e-83,2.19937760625181e-43,5.42150133498409e-45
"Sud_Kivu",0,5.21549036925204e-35,4.10483015043842e-171,1.33046742329132e-39,1.75751234156535e-213,2.07871965120758e-266,1.6811408009572e-219,0,6.37189856175838e-182,5.70127979380796e-94,1.26810012403116e-135,1.56951789114585e-195,3.73635093709469e-126,6.97227630278905e-105,1.29684531465804e-131,2.5495672951205e-107,1.55689616466874e-143,2.03590912237776e-128,1.72151092173226e-85,2.81380971553525e-264,4.74366740576951e-285,3.86302337231422e-175,5.19406849052475e-186,4.01838643108538e-89,1.08546081080683e-149,2.74109233215933e-197,9.6217333557745e-25,2.95664059232839e-124,5.96286739339779e-32,5.72315769550175e-145,7.4953575986218e-55,0,6.2782262350305e-152,5.49586206492203e-60,3.68172118171709e-56,5.93959687079212e-105
"Sud_Ubangi",0,5.99918839186726e-254,0,4.53845825272674e-219,0,0,1.56397825456641e-69,2.20167516808013e-300,1.87769144151794e-207,1.80057651223113e-207,4.04290585069031e-110,9.56739732395313e-62,3.55395996855886e-286,1.09954873931664e-240,1.30763562822051e-191,2.95838934946505e-220,1.09623741992474e-167,1.32401679268912e-201,4.55322124128163e-160,9.35108898510547e-186,2.61963096191442e-208,4.43547019611684e-163,6.57634683804331e-159,3.54101054762028e-210,2.44300937026972e-268,3.60331501861224e-125,5.24296058350624e-118,2.95778749787928e-38,5.34712381912269e-117,7.46168130208033e-31,5.15777956396623e-94,6.2782262350305e-152,0,3.18331810482615e-235,3.79162908747948e-77,3.31678325604383e-71
"Tanganyika",0,1.54163904623258e-94,4.04007069511362e-257,6.06352429016148e-115,2.00504093007681e-187,6.3963685401454e-274,0,0,1.88105082739853e-307,5.10171584443981e-175,7.62618668950307e-247,6.48712312554428e-292,1.70794919909895e-89,3.97055369286328e-77,3.28001914817447e-255,1.24050381556159e-225,2.76796323906846e-183,6.26063048887143e-146,3.95901465636413e-93,0,0,5.08308186504508e-215,6.20054892002581e-240,1.53363467020351e-87,1.19119966114295e-132,1.23454863780295e-272,1.13305323092866e-62,1.00424916161831e-203,1.85703760366662e-87,5.77804376571902e-234,7.34332236671212e-83,5.49586206492203e-60,3.18331810482615e-235,0,4.41746452127e-113,1.43941451446606e-168
"Tshopo",6.34583961827601e-280,8.53327374342336e-103,1.29544229382823e-177,1.19790988492397e-82,1.56224330019034e-249,2.1198758335932e-284,4.01734390590804e-116,3.71179764650952e-238,2.09151713137651e-123,4.30616237667389e-94,3.91709888674933e-50,3.18598124852115e-106,1.29122504449891e-164,1.03669250461233e-133,1.82283463220792e-76,3.97247142104831e-80,2.82763349997373e-113,1.96412871003508e-121,5.80655355778839e-89,7.39261228170043e-191,2.97884618733302e-212,1.79098890715756e-138,3.85583531083491e-137,3.50022916553428e-108,3.17527666626899e-166,4.50074121199867e-128,1.51179376005991e-40,2.39968772680916e-51,8.53408602284612e-37,8.60881632518755e-67,2.19937760625181e-43,3.68172118171709e-56,3.79162908747948e-77,4.41746452127e-113,0,4.10304372631372e-48
"Tshuapa",8.97239175332768e-307,4.61397162858813e-189,2.96124066124289e-297,5.12224116762242e-166,0,0,1.59390525985938e-145,0,4.56710770363622e-221,1.04691219679637e-182,7.1176930949146e-111,1.31392741390136e-67,3.06161297056558e-221,2.31637775028669e-169,3.66966673259211e-176,2.65340623142669e-187,9.98831632495065e-96,3.37713573684943e-124,1.64280172990285e-98,3.85043814895998e-167,2.12664266578325e-199,1.80556953811924e-126,1.09751878928381e-111,1.28913986133544e-132,5.07354791848972e-198,3.17544473822925e-88,6.26235426141685e-72,5.56799775178807e-47,2.68639402937792e-87,2.85923468492956e-75,5.42150133498409e-45,5.93959687079212e-105,3.31678325604383e-71,1.43941451446606e-168,4.10304372631372e-48,0
